Tên công việc,Mức lương,Khu vực tuyển,Cấp bậc,Số lượng tuyển,Hình thức làm việc,Yêu cầu bằng cấp,Yêu cầu kinh nghiệm,Ngành nghề,Quy mô công ty,Loại công ty
Giám Sát Kinh Doanh - Ngành Sữa (Kênh GT),23.5,"TP.HCM, Đồng Nai",Quản lý nhóm- giám sát,5,Toàn thời gian cố định,Trung cấp,1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Nhân Viên Kỹ Thuật Sửa Chữa, Bảo Dưỡng Ô Tô",15.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Không,3 năm,Cơ khí - Ô tô - Tự động hóa/Khoa học - Kỹ thuật,10 - 150 người,2
Trưởng Phòng Kinh Doanh,25.0,Hà Nội,Quản lý cấp trung,1,Toàn thời gian cố định,Cao đẳng,2 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Marketing,10 - 150 người,2
Phó Hiệu Trưởng Chuyên Môn Trung Học,27.5,TP.HCM,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,3 năm,Giáo dục - Đào tạo/Quản lý dự án/Nghề nghiệp khác,150 - 300 người,1
Nhân Viên Văn Phòng (Biết Tiếng Hoa) - Tại Bình Dương (Đi Làm Ngay),12.25,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Chứng chỉ,Chưa có kinh nghiệm,Hành chính - Thư ký/Biên phiên dịch,Trên 300 người,1
Nhân Viên Dịch Vụ Khách Hàng,15.0,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,1 năm,Chăm sóc khách hàng/Tài chính - Đầu tư - Chứng Khoán/Quản lý tiêu chuẩn và chất lượng,Trên 300 người,1
Nhân Viên QC - Tại Bình Dương (Đi Làm Ngay),11.0,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,Chưa có kinh nghiệm,Nông - Lâm - Ngư nghiệp/Khoa học - Kỹ thuật/Hóa học - Hóa sinh,Trên 300 người,1
Nhân Viên Telesales (Chợ Tốt Xe),8.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Bán sỉ - Bán lẻ - Quản lý cửa hàng,150 - 300 người,1
[ HCM_24-30 Tuổi ] Chuyên Viên Tư Vấn Tài Chính (Lương Cơ Bản Từ 16.800.000 + Thưởng 10-30%),23.0,TP.HCM,Chuyên viên- nhân viên,20,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Chăm sóc khách hàng,10 - 150 người,1
Trợ Lý Kinh Doanh,12.0,Bắc Giang,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,Dưới 1 năm,Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Theo Dõi Đơn Hàng (Theo Dõi Mẫu),11.5,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Đại học,2 năm,Sản xuất - Lắp ráp - Chế biến/Bán hàng - Kinh doanh/Dệt may - Da giày - Thời trang,Trên 300 người,2
Trợ Lý Giám Đốc Điều Hành (Assistant To Chief Operating Officer),20.0,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,2 năm,Hành chính - Thư ký/Kiểm toán/Biên phiên dịch,10 - 150 người,1
Nhân Viên Kinh Doanh Nội Thất - Thu Nhập 20-30 Triệu - Đi Làm Ngay,25.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Đại học,1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Bán sỉ - Bán lẻ - Quản lý cửa hàng,150 - 300 người,1
Nhân Viên Kinh Doanh,17.5,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,2 năm,Bảo hiểm/Tài chính - Đầu tư - Chứng Khoán/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Telesales (Việc Làm Tốt),11.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Nhân sự/Chăm sóc khách hàng,150 - 300 người,1
[Hà Nội] Nhân Viên Bán Hàng Qua Điện Thoại,21.0,Hà Nội,Chuyên viên- nhân viên,30,Toàn thời gian cố định,Trung học,Dưới 1 năm,Bán hàng - Kinh doanh/Ngân hàng/Chăm sóc khách hàng,Trên 300 người,1
Sales Leader / Trưởng Nhóm Kinh Doanh,20.0,Hà Nội,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Đại học,2 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Marketing,150 - 300 người,2
HCM - Giám Đốc Quan Hệ Khách Hàng Ưu Tiên,33.0,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Đại học,2 năm,Ngân hàng/Chăm sóc khách hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,2
Nhân Viên Kinh Doanh Thị Trường - Thương Hiệu: Ipone,22.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,Dưới 10 người,1
Nhân Viên Tư Vấn Chăm Sóc Khách Hàng [Vũng Tàu],11.25,Bà Rịa - Vũng Tàu,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Nhân Viên Kinh Doanh Ô Tô - Không Yêu Cầu Kinh Nghiệm,12.0,"TP.HCM, Tây Ninh",Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Cơ khí - Ô tô - Tự động hóa/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Nhân Sự,10.5,Bình Dương,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,Chưa có kinh nghiệm,Hành chính - Thư ký/Nhân sự,Trên 300 người,1
Nhân Viên Kinh Doanh Hàng Tiêu Dùng (Kênh GT - Đại Lý - Tạp Hóa - Chợ),11.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,Trên 300 người,1
"Nhân Viên Kinh Doanh (Elite) - Có Lương Cứng, Không Áp Kpi Doanh Số",30.0,Hải Phòng,Chuyên viên- nhân viên,20,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Bảo hiểm,Dưới 10 người,1
Nhân Viên Quản Lý Hệ Thống Chất Lượng,14.5,Bắc Ninh,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,3 năm,Quản lý tiêu chuẩn và chất lượng/Biên phiên dịch,Trên 300 người,1
Nhân Viên Truyền Thông,9.0,Vĩnh Phúc,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Marketing/Truyền hình - Báo chí - Biên tập/Thông tin - Truyền thông - Quảng cáo,Trên 300 người,2
Nhân Viên Kinh Doanh / Sales Bất Động Sản  (Thu Nhập 10-50 Triệu) Không Yêu Cầu Kinh Nghiệm. Bán Dự Án Vinhomes Smart City,30.0,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bất động sản/Bảo hiểm,150 - 300 người,2
Giám Sát Kinh Doanh - Kênh GT (Đại Lý - Tạp Hóa - Chợ),22.5,"Sóc Trăng, An Giang",Quản lý nhóm- giám sát,2,Toàn thời gian cố định,Trung cấp,1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Tư Vấn Trên 24 Tuổi Kênh Khách Hàng Ưu Tiên Nest By AIA (Lương 16.800.000Đ + Hoa Hồng 10-30%),23.5,TP.HCM,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Bảo hiểm/Bán hàng - Kinh doanh/Chăm sóc khách hàng,Dưới 10 người,1
Nhân Viên Tiếp Thị Mô Hình Sendo Farm,15.0,TP.HCM,Chuyên viên- nhân viên,50,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Marketing/Chăm sóc khách hàng,Trên 300 người,2
Chuyên Viên Marketing (Quận 12),15.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,3 năm,Marketing/Thông tin - Truyền thông - Quảng cáo/Thiết kế - Sáng tạo nghệ thuật,Dưới 10 người,1
"Kỹ Sư Điện, Điện Tử",23.0,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,1 năm,Điện - Điện tử - Điện lạnh/Khoa học - Kỹ thuật,Trên 300 người,1
Nhân Viên Sửa Chữa Dụng Cụ Thiết Bị,11.5,"Hà Nội, TP.HCM",Chuyên viên- nhân viên,11,Toàn thời gian cố định,Trung cấp,1 năm,Khoa học - Kỹ thuật/Vận hành - Bảo trì - Bảo dưỡng/Sản xuất - Lắp ráp - Chế biến,Trên 300 người,1
"Kỹ Sư Làm Công Tác Môi Trường, Cứu Hỏa",22.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,1 năm,Môi trường - Xử lý chất thải/Điện - Điện tử - Điện lạnh/Khoa học - Kỹ thuật,Trên 300 người,1
Kỹ Sư Kỹ Thuật Kế Hoạch,22.0,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,1 năm,Khoa học - Kỹ thuật/Cơ khí - Ô tô - Tự động hóa,Trên 300 người,1
Nhân Viên Quản Lý Dụng Cụ Thiết Bị,11.5,Hà Nội,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Đại học,1 năm,Khoa học - Kỹ thuật/Vận hành - Bảo trì - Bảo dưỡng/Thu mua - Kho Vận - Chuỗi cung ứng,Trên 300 người,1
Nhân Viên Lái Xe Sân Đỗ,11.5,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung học,1 năm,Vận Tải - Lái xe - Giao nhận,Trên 300 người,1
Chuyên Viên Tư Vấn,175.0,Đà Nẵng,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bất động sản/Bán hàng - Kinh doanh/Hành chính - Thư ký,Trên 300 người,2
Nhân Viên Kinh Doanh,12.5,Bình Dương,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Đại học,Chưa có kinh nghiệm,Marketing/Thông tin - Truyền thông - Quảng cáo/Bán hàng - Kinh doanh,Trên 300 người,1
Biên Phiên Dịch Tiếng Trung Tại Long An,15.0,Long An,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Hành chính - Thư ký/Biên phiên dịch,Trên 300 người,2
Nhân Viên Kinh Doanh,7.5,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Sản xuất - Lắp ráp - Chế biến/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,1
Kế Toán Tổng Hợp - Đi Làm Ngay,11.5,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,3 năm,Kế toán/Kiểm toán,10 - 150 người,2
Quản Lý Về Kỹ Thuật Bảo Hành Và Sửa Chữa Kho Vận Toàn Quốc - Tại Hà Nội,27.5,Hà Nội,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Đại học,2 năm,Vận hành - Bảo trì - Bảo dưỡng/Thu mua - Kho Vận - Chuỗi cung ứng/Điện - Điện tử - Điện lạnh,10 - 150 người,2
Nhân Viên Kinh Doanh Thuốc Thú Y Lương Cứng Từ 12 Triệu,21.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Nông - Lâm - Ngư nghiệp/Chăn nuôi - Thú y,150 - 300 người,2
Quản Lý Trình Dược Viên Kênh Y Tế Ngành Dinh Dưỡng (District Manager),35.0,TP.HCM,Quản lý cấp trung,2,Toàn thời gian cố định,Cao đẳng,2 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Y tế - Chăm sóc sức khỏe,150 - 300 người,1
Nhân Viên Kỹ Thuật Sửa Chữa Máy Móc.,12.0,Bắc Ninh,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Trung cấp,3 năm,Điện - Điện tử - Điện lạnh/Vận hành - Bảo trì - Bảo dưỡng/Khoa học - Kỹ thuật,Trên 300 người,1
Chỉ Huy Trưởng Công Trình,15.0,Hà Nội,Quản lý cấp trung,2,Toàn thời gian cố định,Đại học,2 năm,Xây dựng/Quản lý dự án,10 - 150 người,2
"Chuyên Viên Tư Vấn Tài Chính [Bắc Từ Liêm, Hà Nội]",11.25,Hà Nội,Chuyên viên- nhân viên,20,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Tài chính - Đầu tư - Chứng Khoán/Chăm sóc khách hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Kinh Doanh Tại Văn Phòng,14.0,Bình Dương,Chuyên viên- nhân viên,30,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Tài chính - Đầu tư - Chứng Khoán/Bán hàng - Kinh doanh,150 - 300 người,1
Chuyên Viên Tư Vấn [Thuận An-Bình Dương],11.25,Bình Dương,Chuyên gia,10,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Nhân Viên Kinh Doanh (HAYA Hotel /Palma Resort PQ),11.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Khách sạn - Nhà hàng - Du lịch/Bán hàng - Kinh doanh,10 - 150 người,1
"Nhân Viên R&D Specialist, Kinh Nghiệm 1 Năm (Làm Tại Quận 12)",17.5,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Thiết kế - Sáng tạo nghệ thuật/Xuất bản - In ấn/Nghề nghiệp khác,Trên 300 người,1
Nhân Viên Quay Và Edit Video Tại Bắc Ninh (Lương 12 - 20Tr) ,16.0,"Bắc Ninh, Hà Nội",Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Thiết kế - Sáng tạo nghệ thuật/Thông tin - Truyền thông - Quảng cáo/Marketing,150 - 300 người,1
Kế Toán Trưởng (Biết Tiếng Trung),20.0,Đồng Nai,Quản lý cấp trung,1,Toàn thời gian cố định,Cao đẳng,2 năm,Kế toán/Biên phiên dịch,10 - 150 người,2
"Trưởng Phòng Thiết Kế Khuôn Jig (Kcn Đình Trám, Bắc Giang)",31.5,Bắc Giang,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,5 năm,Cơ khí - Ô tô - Tự động hóa/Điện - Điện tử - Điện lạnh/Quản lý tiêu chuẩn và chất lượng,10 - 150 người,2
"Kỹ Thuật Vận Hành Máy Tiện CNC (Kcn Đình Trám, Bắc Giang)",9.0,Bắc Giang,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung cấp,2 năm,Cơ khí - Ô tô - Tự động hóa/Điện - Điện tử - Điện lạnh/Vận hành - Bảo trì - Bảo dưỡng,10 - 150 người,2
"Trưởng Nhóm QC Khuôn Jig (Kcn Đình Trám, Bắc Giang)",19.0,Bắc Giang,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Đại học,3 năm,Cơ khí - Ô tô - Tự động hóa/Điện - Điện tử - Điện lạnh/Quản lý tiêu chuẩn và chất lượng,10 - 150 người,2
Quản Lý Vận Hành Phát Triển Hệ Thống,17.5,Hà Nội,Quản lý cấp trung,1,Toàn thời gian cố định,Cao đẳng,3 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Thực phẩm - Đồ uống,150 - 300 người,1
[Vinamilk] Trưởng Ban Sản Xuất Tinh (Tinh Bò Sữa),27.5,"Lâm Đồng, Ninh Thuận, TP.HCM",Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,2 năm,Nông - Lâm - Ngư nghiệp/Chăn nuôi - Thú y/Quản lý tiêu chuẩn và chất lượng,10 - 150 người,1
통역 채용 공고- Nhân Viên Phiên Dịch Tiếng Hàn,20.0,"Ninh Bình, Hà Nội",Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,1 năm,Biên phiên dịch/Hành chính - Thư ký,150 - 300 người,1
Quản Lý Kinh Doanh Miền Nam (Regional Sales Manager) - Đi Làm Ngay,45.0,TP.HCM,Quản lý cấp trung,2,Toàn thời gian cố định,Đại học,2 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Quản lý dự án,10 - 150 người,2
Nhân Viên Chăm Sóc Khách Hàng Lazada - Inbound (Đi Làm Ngay),7.5,TP.HCM,Chuyên viên- nhân viên,15,Toàn thời gian cố định,Trung học,Dưới 1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Khách sạn - Nhà hàng - Du lịch,Trên 300 người,1
Nhân Viên Chăm Sóc Khách Hàng,12.0,"Hà Nội, TP.HCM",Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Hành chính - Thư ký,Trên 300 người,2
Nhân Viên Chăm Sóc Khách Hàng (Phỏng Vấn Đi Làm Ngay),11.5,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bất động sản/Chăm sóc khách hàng/Bán hàng - Kinh doanh,Dưới 10 người,2
Nhân Viên Kinh Doanh Tại Hà Đông Đi Làm Ngay - Lương 15 - 25Tr,20.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Cơ khí - Ô tô - Tự động hóa,10 - 150 người,1
"Nhân Viên Tư Vấn Và Bán Hàng Tại Cửa Hàng (Thu Nhập Từ 10Tr Trở Lên, Data + Laptop Có Sẵn)",14.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Không,Dưới 1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,Dưới 10 người,1
"Chuyên Viên Tư Vấn Khách Hàng (Lương Cứng 16,8 Triệu)",23.0,TP.HCM,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Không,Dưới 1 năm,Bảo hiểm/Bán hàng - Kinh doanh/Chăm sóc khách hàng,Dưới 10 người,1
Trợ Lý Giám Đốc,13.0,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Đại học,3 năm,Hành chính - Thư ký,10 - 150 người,1
Nhân Viên Thu Đổi Ngoại Tệ - Tại Sân Bay Tân Sơn Nhất (Tân Bình),8.0,TP.HCM,Chuyên viên- nhân viên,20,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Ngân hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,Trên 300 người,2
Nhân Viên Giao Hàng Xe Máy Kiêm Phụ Kho,9.75,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,1 năm,Vận Tải - Lái xe - Giao nhận/Thu mua - Kho Vận - Chuỗi cung ứng,10 - 150 người,1
Nhân Viên Telesales (Cho Vay Tiền Mặt) Tại Hồ Chí Minh,21.0,TP.HCM,Chuyên viên- nhân viên,30,Toàn thời gian cố định,Trung học,Dưới 1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Kế Toán Trưởng,24.0,TP.HCM,Quản lý cấp trung,2,Toàn thời gian cố định,Cao đẳng,2 năm,Kế toán/Kiểm toán,150 - 300 người,1
[Cần Thơ] Nhân Viên Kinh Doanh Ban Phát Triển Miền Nam,11.75,"Cần Thơ, Vĩnh Long, Bến Tre, Long An, Sóc Trăng, Tiền Giang, Kiên Giang",Chuyên viên- nhân viên,4,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,Trên 300 người,1
Quản Lý Bảo Hành – Kho Vận Khu Vực Tp.HCM,25.0,TP.HCM,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,2 năm,Vận hành - Bảo trì - Bảo dưỡng/Điện - Điện tử - Điện lạnh/Thu mua - Kho Vận - Chuỗi cung ứng,10 - 150 người,2
"Nhân Viên Kinh Doanh / Telesale / Bán Hàng Qua Điện Thoại (Lương Từ 15 - 25 Triệu, Kinh Nghiệm Từ 1 Năm, Làm Fulltime) Tại Hồ Chí Minh",20.0,TP.HCM,Chuyên viên- nhân viên,15,Toàn thời gian cố định,Trung học,1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Tài chính - Đầu tư - Chứng Khoán,150 - 300 người,1
Nhân Viên Kinh Doanh Lương Cứng 10-30 Triệu (Bình Thạnh) Không Áp Số,19.5,TP.HCM,Chuyên viên- nhân viên,20,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,150 - 300 người,2
"Nhân Viên Tư Vấn Chăm Sóc Khách Hàng Fulltime (Thu Nhập Từ 10 - 20 Triệu, Data + Laptop Có Sẵn)",14.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Không,Dưới 1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,Dưới 10 người,1
Giám Sát Kinh Doanh,25.0,"TP.HCM, Bà Rịa - Vũng Tàu, Long An, Đồng Nai, Bạc Liêu",Quản lý nhóm- giám sát,10,Toàn thời gian cố định,Cao đẳng,3 năm,Marketing/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh,Trên 300 người,2
Nhân Viên Kinh Doanh,12.5,TP.HCM,Chuyên viên- nhân viên,20,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Hành chính - Thư ký,10 - 150 người,1
Nhân Viên Telemarketing - Tư Vấn Lịch Hẹn (Thu Nhập 15-20 Triệu / Làm Tại Quận 7),11.0,TP.HCM,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Không,Dưới 1 năm,Chăm sóc khách hàng/Khách sạn - Nhà hàng - Du lịch/Bán hàng - Kinh doanh,150 - 300 người,1
Nhân Viên Tư Vấn - Tổng Đài Đặt Lịch Hẹn Sự Kiện (Chưa Có Kinh Nghiệm Được Đào Tạo),15.0,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Khách sạn - Nhà hàng - Du lịch/Chăm sóc khách hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Kinh Doanh - Kênh Siêu Thị (Hàng Tiêu Dùng Nhanh),10.5,"TP.HCM, Long An",Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Lao động phổ thông/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Kinh Doanh Thị Trường - App Vinshop (Ngành Tiêu Dùng),20.0,"Hà Nội, Thanh Hóa, Nghệ An, TP.HCM, Thái Bình, An Giang, Đồng Nai, Bà Rịa - Vũng Tàu",Chuyên viên- nhân viên,20,Toàn thời gian cố định,Trung học,Dưới 1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Lao động phổ thông,Trên 300 người,2
Chuyên Viên Kinh Doanh / Telesales Nhà Tốt - Có Cung Cấp Data,11.5,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Bán sỉ - Bán lẻ - Quản lý cửa hàng,150 - 300 người,1
Chuyên Viên Thu Mua Xe (Purchaser),15.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,2 năm,Cơ khí - Ô tô - Tự động hóa/Thu mua - Kho Vận - Chuỗi cung ứng,150 - 300 người,1
Quản Lý Cửa Hàng Tokyolife,12.5,"Hải Dương, Bắc Giang, Hà Nội, Hải Phòng",Quản lý cấp trung,1,Toàn thời gian cố định,Cao đẳng,2 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh,Trên 300 người,2
Nhân Viên Kế Toán Công Nợ Đi Làm Ngay,9.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,2 năm,Kế toán/Kiểm toán/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,2
Nhân Viên Kinh Doanh Tại Hà Nội,14.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Y tế - Chăm sóc sức khỏe/Marketing,Trên 300 người,2
Trưởng Phòng CSKH,12.5,TP.HCM,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Cao đẳng,2 năm,Chăm sóc khách hàng/Giáo dục - Đào tạo/Bán hàng - Kinh doanh,10 - 150 người,1
Nhân Viên Làm Hồ Sơ Thầu Thuốc Bệnh Viện (Đi Làm Ngay),10.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Y tế - Chăm sóc sức khỏe/Bán hàng - Kinh doanh,10 - 150 người,1
Kỹ Sư MEP - Giám Sát Hiện Trường,11.0,Đà Nẵng,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,2 năm,Xây dựng/Điện - Điện tử - Điện lạnh/Khoa học - Kỹ thuật,10 - 150 người,2
Trưởng Nhóm Marketing,22.5,TP.HCM,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Đại học,3 năm,Marketing/Quản lý dự án,150 - 300 người,1
Nhân Viên Kế Toán Thuế,8.5,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Kế toán/Kiểm toán,Dưới 10 người,1
Phó Phòng R&D (Làm Tại Thủ Đức),15.5,TP.HCM,Quản lý cấp trung,2,Toàn thời gian cố định,Cao đẳng,1 năm,Cơ khí - Ô tô - Tự động hóa/Khoa học - Kỹ thuật/Sản xuất - Lắp ráp - Chế biến,150 - 300 người,1
Kỹ Sư Cơ Khí - Phỏng Vấn Đi Làm Ngay,11.0,Hà Nội,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Khoa học - Kỹ thuật/Cơ khí - Ô tô - Tự động hóa/Xây dựng,10 - 150 người,2
