Liên kết,Tên công việc,Tên công ty,Mức lương,Khu vực tuyển
https://vieclam24h.vn/marketing/nhan-vien-quan-ly-san-thuong-mai-dien-tu-thu-nhap-len-toi-12-trieu-c12p92id200294496.html,Nhân Viên Quản Lý Sàn Thương Mại Điện Tử - Thu Nhập Lên Tới 12 Triệu,Công Ty Cổ Phần Đầu Tư Sản Xuất Và Thương Mại Tuấn Anh,8 - 12 triệu,Hải Phòng
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-van-phong-c13p122id200293975.html,Nhân Viên Tư Vấn Văn Phòng,Công Ty TNHH Tư Vấn Quảng Cáo Huy Bảo,10 - 15 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/tro-ly-giam-doc-biet-tieng-trung-khong-yeu-cau-kinh-nghiem-c1p73id200293677.html,Trợ Lý Giám Đốc (Biết Tiếng Trung) - Không Yêu Cầu Kinh Nghiệm,Công Ty Cổ Phần Quốc Tế Topg Việt Nam,10 - 12 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/telesale-team-leader-c13p122id200293106.html,Telesale Team Leader,Công Ty TNHH Vietnam Concentrix Services,17 - 32 triệu,TP.HCM
https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-doc-kinh-doanh-ha-noi-c6p73id200293571.html,Giám Đốc Kinh Doanh - Hà Nội,Công Ty TNHH Giải Pháp Công Nghệ Ais Việt Nam,22 - 50 triệu,Hà Nội
https://vieclam24h.vn/san-xuat-lap-rap-che-bien/nhan-vien-ke-hoach-c9p119id200293082.html,Nhân Viên Kế Hoạch,Công Ty TNHH SX TM Dihafo,10 - 15 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-sale-admin-c1p122id200292985.html,Nhân Viên Sale Admin,Công Ty TNHH Kỹ Thuật Công Nghệ Cti Việt Nam,8 - 12 triệu,TP.HCM
https://vieclam24h.vn/van-tai-lai-xe-giao-nhan/nhan-vien-giao-hang-di-lam-ngay-c16p109id200292951.html,Nhân Viên Giao Hàng - Đi Làm Ngay,Công Ty TNHH Một Thành Viên Chuyển Phát Nhanh Thuận Phong- Chi Nhánh Tây Nguyên,8 - 15 triệu,"Khánh Hòa, Đắk Nông, Kon Tum, Gia Lai, +3"
https://vieclam24h.vn/hanh-chinh-thu-ky/hr-admin-executive-c1p120id200292917.html,HR & Admin Executive,Công Ty TNHH Bao Bì Nước Giải Khát Crown Đồng Nai,13 - 16 triệu,Đồng Nai
https://vieclam24h.vn/bien-phien-dich/nhan-vien-tro-ly-van-phong-biet-tieng-anh-tieng-trung-c37p122id200292827.html,Nhân Viên Trợ Lý Văn Phòng Biết Tiếng Anh - Tiếng Trung,Công Ty TNHH Kinh Doanh Chl,15 - 18 triệu,TP.HCM
https://vieclam24h.vn/nhan-su/nhan-vien-hanh-chinh-nhan-su-c22p73id200292600.html,Nhân Viên Hành Chính Nhân Sự,Công Ty Cổ Phần Đầu Tư Dịch Vụ Và Thương Mại Atp,8 - 12 triệu,Hà Nội
https://vieclam24h.vn/bien-phien-dich/phien-dich-vien-tieng-trung-c37p122id200292146.html,Phiên Dịch Viên Tiếng Trung,Công Ty TNHH Ưu Phẩm,15 - 20 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/tro-ly-tieng-nhat-c1p104id200292400.html,Trợ Lý Tiếng Nhật,Công Ty TNHH Fujidan Việt Nam,6 - 15 triệu,Đà Nẵng
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-van-phong-sinh-quan-biet-tieng-trung-c1p123id200292265.html,Nhân Viên Văn Phòng - Sinh Quản (Biết Tiếng Trung),Công Ty TNHH MTV Hán Thái Việt Nam,8 - 12 triệu,Long An
